,line number,filename,buggy commit,issue id,bug_inducing_commit,buggy author,author experience,project progress,timedelta (month),id,fix commit,type error lines,directory,project name,owner
0,262,lib/ansible/modules/network/iosxr/iosxr_system.py,ec9582f,22315,4cdb266dac852859f695b0555cbe49e58343e69a,Peter Sprygada,558,28007,42,4,fd6429f,262,4/ansible,ansible,ansible
4,65,lib/ansible/module_utils/facts/hardware/hpux.py,eda6a6b,25368,45a9f967749ec68e2077fe1d1d32dd37660ab376,Adrian Likins,154,30481,13,35,3d21965,"65, 67",35/ansible,ansible,ansible
5,67,lib/ansible/module_utils/facts/hardware/hpux.py,eda6a6b,25368,45a9f967749ec68e2077fe1d1d32dd37660ab376,Adrian Likins,154,30481,13,35,3d21965,"65, 67",35/ansible,ansible,ansible
6,240,lib/ansible/modules/network/iosxr/iosxr_logging.py,36c6d0f,27122,e5c2e1b7beabdd91fe0df768b8c6aa7f54c603e3,Trishna Guha,50,31271,2,38,3b1f2ae,"240, 241",38/ansible,ansible,ansible
7,241,lib/ansible/modules/network/iosxr/iosxr_logging.py,36c6d0f,27122,e5c2e1b7beabdd91fe0df768b8c6aa7f54c603e3,Trishna Guha,50,31271,2,38,3b1f2ae,"240, 241",38/ansible,ansible,ansible
8,633,lib/ansible/cli/__init__.py,54931f3,18684,fe91f7b506b5615c80c32623f4144f182ac83308,Brian Coca,1020,14881,34,42,74a10d7,633,42/ansible,ansible,ansible
9,27,blaze/compute/dask.py,ea66296,1113,fcc476453bf5bf5c426ac6bdd5020713c60e1420,Blake Griffith,23,5790,0,44,6bdeb66,"27, 39",44/blaze,blaze,ContinuumIO
10,39,blaze/compute/dask.py,ea66296,1113,fcc476453bf5bf5c426ac6bdd5020713c60e1420,Blake Griffith,23,5790,0,44,6bdeb66,"27, 39",44/blaze,blaze,ContinuumIO
11,928,manticore/ethereum.py,105a7d3,735,97307906c5e4d4a89d9631628e6d58f1a19b7e82,Mark Mossberg,133,361,11,47,9f0d25c,928,47/manticore,manticore,trailofbits
12,91,lib/ansible/utils/path.py,181b31e,27511,8f97aef1a365cbbbb822d6d09f96af17a076b295,Brian Coca,3300,30311,56,50,3f12fcc,91,50/ansible,ansible,ansible
13,355,invenio/b2share/modules/b2deposit/restful.py,8e97d53,667,e2336fe1dae89f3fe4612d8ba40525d35ab75a76,Emanuel Dima,116,11862,11,56,76cf09c,355,56/b2share,b2share,EUDAT-B2SHARE
14,238,stream_alert/rule_processor/rules_engine.py,6da3b52,787,ef027eb0ec83d9597c6c3675683b731853c31f37,Jack Naglieri,514,1568,13,61,1735fad,238,61/streamalert,streamalert,airbnb
15,324,lib/ansible/modules/system/interfaces_file.py,8c4f349,37387,42039cd4368e074fd5c902c104e6b217015d3b51,Roman Belyakovsky,2,31659,11,64,b7aa41b,324,64/ansible,ansible,ansible
16,753,pandas/io/sql.py,c588dd1d0,15404,df48524c5339d7f0c26b653504d25e3cdf2f3a84,Artemy Kolchinsky,3,10407,0,70,f4e672c,"753, 1223",70/pandas,pandas,pandas-dev
17,1223,pandas/io/sql.py,c588dd1d0,15404,337b94d3f5be6d9beca2386f7d0188dfc3e8fa08,Artemy Kolchinsky,10,11195,5,70,f4e672c,"753, 1223",70/pandas,pandas,pandas-dev
18,116,lib/ansible/modules/network/ios/ios_banner.py,88ce6fd,22216,98c98125f06f6903bf8f12ab76b5794c72a1f37c,Ricardo Carrillo Cruz,40,29448,3,74,66e29f0,116,74/ansible,ansible,ansible
