,filename,bug_inducing_commit,buggy author,id,directory,project name,file_exp
0,lib/ansible/modules/network/iosxr/iosxr_system.py,4cdb266dac852859f695b0555cbe49e58343e69a,Peter Sprygada,4,4/ansible,ansible,1
1,examples/prediction/category_prediction/run.py,91691d2ce5260feed57583d252a8a55a8f846859,Matthew Taylor,16,16/nupic,nupic,0
2,examples/prediction/category_prediction/run.py,91691d2ce5260feed57583d252a8a55a8f846859,Matthew Taylor,16,16/nupic,nupic,0
3,lendingbot.py,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,34,34/MikaLendingBot,MikaLendingBot,8
4,lib/ansible/module_utils/facts/hardware/hpux.py,45a9f967749ec68e2077fe1d1d32dd37660ab376,Adrian Likins,35,35/ansible,ansible,0
5,lib/ansible/module_utils/facts/hardware/hpux.py,45a9f967749ec68e2077fe1d1d32dd37660ab376,Adrian Likins,35,35/ansible,ansible,0
6,lib/ansible/modules/network/iosxr/iosxr_logging.py,e5c2e1b7beabdd91fe0df768b8c6aa7f54c603e3,Trishna Guha,38,38/ansible,ansible,1
7,lib/ansible/modules/network/iosxr/iosxr_logging.py,e5c2e1b7beabdd91fe0df768b8c6aa7f54c603e3,Trishna Guha,38,38/ansible,ansible,1
8,lib/ansible/cli/__init__.py,fe91f7b506b5615c80c32623f4144f182ac83308,Brian Coca,42,42/ansible,ansible,18
9,blaze/compute/dask.py,fcc476453bf5bf5c426ac6bdd5020713c60e1420,Blake Griffith,44,44/blaze,blaze,0
10,blaze/compute/dask.py,fcc476453bf5bf5c426ac6bdd5020713c60e1420,Blake Griffith,44,44/blaze,blaze,0
11,manticore/ethereum.py,97307906c5e4d4a89d9631628e6d58f1a19b7e82,Mark Mossberg,47,47/manticore,manticore,10
12,lib/ansible/utils/path.py,8f97aef1a365cbbbb822d6d09f96af17a076b295,Brian Coca,50,50/ansible,ansible,8
13,invenio/b2share/modules/b2deposit/restful.py,e2336fe1dae89f3fe4612d8ba40525d35ab75a76,Emanuel Dima,56,56/b2share,b2share,2
14,stream_alert/rule_processor/rules_engine.py,ef027eb0ec83d9597c6c3675683b731853c31f37,Jack Naglieri,61,61/streamalert,streamalert,15
15,lib/ansible/modules/system/interfaces_file.py,42039cd4368e074fd5c902c104e6b217015d3b51,Roman Belyakovsky,64,64/ansible,ansible,0
16,pandas/io/sql.py,df48524c5339d7f0c26b653504d25e3cdf2f3a84,Artemy Kolchinsky,70,70/pandas,pandas,2
17,pandas/io/sql.py,337b94d3f5be6d9beca2386f7d0188dfc3e8fa08,Artemy Kolchinsky,70,70/pandas,pandas,8
18,lib/ansible/modules/network/ios/ios_banner.py,98c98125f06f6903bf8f12ab76b5794c72a1f37c,Ricardo Carrillo Cruz,74,74/ansible,ansible,3
19,docido_sdk/index/test.py,7d5e8eb77ae1483553bfa51a1ad990ec29a0737d,Tristan Carel,84,84/docido-python-sdk,docido-python-sdk,8
20,astropy/io/fits/diff.py,aaaa6fb56fdb09f93b58c13871765e4b9dd6475e,Brigitta Sipocz,87,87/astropy,astropy,3
21,shop/cascade/extensions.py,9b4e12f5e77b5e3f8b9a301452eb80ec14bf7de7,Jacob Rief,88,88/django-shop,django-shop,0
22,shop/cascade/extensions.py,9b4e12f5e77b5e3f8b9a301452eb80ec14bf7de7,Jacob Rief,88,88/django-shop,django-shop,0
23,lgsm/functions/gsquery.py,841a65b2f7105bc174674703101cb4a24d2d9a64,Daniel Gibbs,100,100/LinuxGSM,LinuxGSM,11
24,ensime_shared/editor.py,e60977e11b8a1c6066b49653c05febcc7c98867d,Ches Martin,110,110/ensime-vim,ensime-vim,0
25,lib/ansible/module_utils/eos.py,b5bbac29e54076507dad81bc6b2b37ee045571be,Peter Sprygada,115,115/ansible,ansible,11
26,lib/ansible/module_utils/aws/cloudfront_facts.py,8d733dbdf0eb7bbda5f3a783e893d71a3a35a646,Will Thames,117,117/ansible,ansible,0
27,lib/ansible/modules/cloud/amazon/ec2_group.py,2ceff476bf17e021c2453e6fc80544827bf40f1c,Brandon Davidson,128,128/ansible,ansible,0
28,maltrieve.py,7a8b889f197127db6c4658d60f301bb825d938c5,Kyle Maxwell,144,144/maltrieve,maltrieve,118
29,astropy/io/fits/util.py,e0236766aa295e46eaff27746a5c549107888492,Stephen Portillo,158,158/astropy,astropy,0
30,lib/ansible/modules/cloud/azure/azure_rm_dnsrecordset.py,6b5b4651253d584420520271c865f3a64e564bc1,nitzmahone,161,161/ansible,ansible,0
31,lib/ansible/modules/network/iosxr/iosxr_command.py,671184adc45023c625d6e94e8142f76a0a621e6e,Peter Sprygada,218,218/ansible,ansible,3
32,lib/ansible/modules/system/user.py,8010b7f9808adb4c8e4d861a54f323c559e18787,Lars Engels,222,222/ansible,ansible,0
33,lib/ansible/modules/system/user.py,8010b7f9808adb4c8e4d861a54f323c559e18787,Lars Engels,222,222/ansible,ansible,0
34,lib/ansible/modules/system/user.py,8010b7f9808adb4c8e4d861a54f323c559e18787,Lars Engels,222,222/ansible,ansible,0
35,terra/terminal.py,67dd6521f97e11c86ccae30e9cfc2dba2974f02f,Schneider Werner-Walter,230,230/terra-terminal,terra-terminal,5
36,app_integrations/apps/onelogin.py,d7585ad801c111e7889550950afd13dc33a760f9,javier_marcos,248,248/streamalert,streamalert,8
37,inspirehep/modules/workflows/tasks/classifier.py,7916662b475f81b7e2635cd283b189efc46cf2d8,Samuele Kaplun,285,285/inspire-next,inspire-next,1
38,caravel/forms.py,be6b2fe5560829e5b0bae2fb6613a8a32dcf4f69,Maxime Beauchemin,291,291/incubator-superset,incubator-superset,0
39,lib/ansible/modules/network/ios/ios_facts.py,a522c2d99fd25c15aee89927e3de4ca86f88b66e,Peter Sprygada,318,318/ansible,ansible,0
40,soco/snapshot.py,cc226b433cfd286d8b706eeef5a357e4d9070cd4,robwebset,325,325/SoCo,SoCo,1
41,osmaxx-py/osmaxx/job_progress/views.py,53ecc8fafb1341caf3c6076984fe85d486eb2020,Nicola Jordan,327,327/osmaxx,osmaxx,4
