issue id,buggy commit,buggy author,owner,repo
9,7d5e8eb77ae1483553bfa51a1ad990ec29a0737d,Tristan Carel,kabirbaidhya,pglistend
9,7d5e8eb77ae1483553bfa51a1ad990ec29a0737d,Tristan Carel,cogniteev,docido-python-sdk
9,7d5e8eb77ae1483553bfa51a1ad990ec29a0737d,Tristan Carel,TESScience,SPyFFI
9,7d5e8eb77ae1483553bfa51a1ad990ec29a0737d,Tristan Carel,Difrex,surok
95,67dd6521f97e11c86ccae30e9cfc2dba2974f02f,Schneider Werner-Walter,Sixdsn,terra-terminal
141,7a8b889f197127db6c4658d60f301bb825d938c5,Kyle Maxwell,krmaxwell,maltrieve
180,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,Mikadily,poloniexlendingbot
180,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,pybuilder,pybuilder
292,be6b2fe5560829e5b0bae2fb6613a8a32dcf4f69,Maxime Beauchemin,airbnb,caravel
309,53ecc8fafb1341caf3c6076984fe85d486eb2020,Nicola Jordan,geometalab,osmaxx
339,e60977e11b8a1c6066b49653c05febcc7c98867d,Ches Martin,kwikteam,phy
339,e60977e11b8a1c6066b49653c05febcc7c98867d,Ches Martin,ensime,ensime-vim
470,d7585ad801c111e7889550950afd13dc33a760f9,javier_marcos,secdev,scapy
470,d7585ad801c111e7889550950afd13dc33a760f9,javier_marcos,airbnb,streamalert
475,cc226b433cfd286d8b706eeef5a357e4d9070cd4,robwebset,SoCo,SoCo
667,e2336fe1dae89f3fe4612d8ba40525d35ab75a76,Emanuel Dima,EUDAT-B2SHARE,b2share
682,9b4e12f5e77b5e3f8b9a301452eb80ec14bf7de7,Jacob Rief,awesto,django-shop
682,9b4e12f5e77b5e3f8b9a301452eb80ec14bf7de7,Jacob Rief,awesto,django-shop
735,97307906c5e4d4a89d9631628e6d58f1a19b7e82,Mark Mossberg,trailofbits,manticore
787,ef027eb0ec83d9597c6c3675683b731853c31f37,Jack Naglieri,airbnb,streamalert
964,841a65b2f7105bc174674703101cb4a24d2d9a64,Daniel Gibbs,dgibbs64,linuxgsm
1004,c327d61a74e24bdd1596edc3d116ef95d0692b50,Ben Jefferies,ONSdigital,eq-survey-runner
1113,fcc476453bf5bf5c426ac6bdd5020713c60e1420,Blake Griffith,ContinuumIO,blaze
1113,fcc476453bf5bf5c426ac6bdd5020713c60e1420,Blake Griffith,ContinuumIO,blaze
2133,91691d2ce5260feed57583d252a8a55a8f846859,Matthew Taylor,numenta,nupic
2133,91691d2ce5260feed57583d252a8a55a8f846859,Matthew Taylor,numenta,nupic
2456,7916662b475f81b7e2635cd283b189efc46cf2d8,Samuele Kaplun,inspirehep,inspire-next
2693,9142357fa80ea97dca92130229dd3a013a822e58,Martijn de Vos,Tribler,tribler
2847,0121e07d998a7c88f0a2db638ea4b4c9598cb8fd,Martijn de Vos,Tribler,tribler
5520,aaaa6fb56fdb09f93b58c13871765e4b9dd6475e,Brigitta Sipocz,astropy,astropy
7435,e0236766aa295e46eaff27746a5c549107888492,Stephen Portillo,astropy,astropy
15404,df48524c5339d7f0c26b653504d25e3cdf2f3a84,Artemy Kolchinsky,pandas-dev,pandas
15404,337b94d3f5be6d9beca2386f7d0188dfc3e8fa08,Artemy Kolchinsky,pandas-dev,pandas
17441,b5bbac29e54076507dad81bc6b2b37ee045571be,Peter Sprygada,ansible,ansible
18684,fe91f7b506b5615c80c32623f4144f182ac83308,Brian Coca,ansible,ansible
22216,98c98125f06f6903bf8f12ab76b5794c72a1f37c,Ricardo Carrillo Cruz,ansible,ansible
22315,4cdb266dac852859f695b0555cbe49e58343e69a,Peter Sprygada,ansible,ansible
22470,66104191d182aedd7b76f4a1b839c448f97c3ffe,Brian Coca,ansible,ansible
25368,45a9f967749ec68e2077fe1d1d32dd37660ab376,Adrian Likins,ansible,ansible
25368,45a9f967749ec68e2077fe1d1d32dd37660ab376,Adrian Likins,ansible,ansible
26918,1abc73da6862c32959377884df037491ca1e98a6,Ricardo Carrillo Cruz,ansible,ansible
26918,1abc73da6862c32959377884df037491ca1e98a6,Ricardo Carrillo Cruz,ansible,ansible
26918,0b6f0e6c0d95e271cf4173b28ece4a5e58902f9c,Peter Sprygada,ansible,ansible
27118,671184adc45023c625d6e94e8142f76a0a621e6e,Peter Sprygada,ansible,ansible
27122,e5c2e1b7beabdd91fe0df768b8c6aa7f54c603e3,Trishna Guha,ansible,ansible
27122,e5c2e1b7beabdd91fe0df768b8c6aa7f54c603e3,Trishna Guha,ansible,ansible
27242,a522c2d99fd25c15aee89927e3de4ca86f88b66e,Peter Sprygada,ansible,ansible
27511,8f97aef1a365cbbbb822d6d09f96af17a076b295,Brian Coca,ansible,ansible
36412,2ceff476bf17e021c2453e6fc80544827bf40f1c,Brandon Davidson,ansible,ansible
37387,42039cd4368e074fd5c902c104e6b217015d3b51,Roman Belyakovsky,ansible,ansible
37581,6b5b4651253d584420520271c865f3a64e564bc1,nitzmahone,ansible,ansible
38040,8010b7f9808adb4c8e4d861a54f323c559e18787,Lars Engels,ansible,ansible
38040,8010b7f9808adb4c8e4d861a54f323c559e18787,Lars Engels,ansible,ansible
38040,8010b7f9808adb4c8e4d861a54f323c559e18787,Lars Engels,ansible,ansible
40668,8d733dbdf0eb7bbda5f3a783e893d71a3a35a646,Will Thames,ansible,ansible
