files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.84  T=13.75 s (415.4 files/s, 76826.3 lines/s)"
2731,Python,113117,263369,400351
1918,YAML,20944,8298,122364
444,JSON,7,0,24972
136,PowerShell,3221,2460,16370
29,XML,2,1,15250
191,reStructuredText,8707,6076,14982
12,CSS,3145,102,14721
61,Markdown,1550,0,6411
93,Bourne Shell,575,344,1791
34,INI,258,0,1208
18,Dockerfile,79,20,1115
11,make,222,70,1082
11,JavaScript,136,253,1036
13,HTML,118,38,874
1,SVG,0,0,399
1,Fish Shell,18,12,80
1,Go,14,14,61
2,Tcl/Tk,3,2,21
1,Velocity Template Language,4,7,15
1,C#,1,1,11
2,DOS Batch,0,0,4
5711,SUM,152121,281067,623118
