files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.84  T=19.41 s (389.8 files/s, 69907.4 lines/s)"
3464,Python,142986,339569,514055
2715,YAML,28589,10271,175322
686,JSON,9,0,38195
158,PowerShell,3465,2129,17855
239,reStructuredText,10448,7647,17382
15,CSS,3305,111,16405
30,XML,0,0,12559
2,SVG,0,0,3070
65,Markdown,1256,0,2703
92,Bourne Shell,657,415,1699
19,HTML,176,59,1240
37,INI,247,0,1192
10,make,224,72,1114
13,JavaScript,136,256,1038
12,Dockerfile,45,11,789
1,Fish Shell,18,12,80
1,Go,14,14,61
2,Tcl/Tk,3,2,21
1,Velocity Template Language,4,7,15
1,diff,3,8,13
1,C#,1,1,11
1,TOML,0,0,5
2,DOS Batch,0,0,4
7567,SUM,191586,360584,804828
