files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.84  T=19.50 s (399.6 files/s, 72463.0 lines/s)"
3629,Python,149615,354372,540974
2766,YAML,29686,10926,183547
691,JSON,9,0,38351
160,PowerShell,3531,2154,18206
243,reStructuredText,10683,7827,17706
8,CSS,3063,12,13044
31,XML,7,0,12596
84,Markdown,1895,0,4247
2,SVG,0,0,3070
96,Bourne Shell,677,430,1752
19,HTML,176,59,1240
37,INI,247,0,1192
10,make,224,72,1114
6,JavaScript,11,8,117
2,Dockerfile,13,3,80
1,Fish Shell,18,12,80
1,Go,14,14,61
2,Tcl/Tk,3,2,21
1,Velocity Template Language,4,7,15
1,diff,3,8,13
1,C#,1,1,11
1,TOML,0,0,5
2,DOS Batch,0,0,4
7794,SUM,199880,375907,837446
