files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.84  T=7.72 s (400.9 files/s, 77131.0 lines/s)"
1702,Python,67365,169913,236348
942,YAML,8445,4631,45258
96,reStructuredText,6550,4245,11018
78,PowerShell,2048,1857,9052
10,CSS,1231,100,7308
60,Markdown,1560,0,5354
58,JSON,5,0,3077
1,XML,2,1,2713
32,INI,241,0,1138
12,JavaScript,137,253,1039
70,Bourne Shell,347,168,1007
9,make,229,73,954
12,Dockerfile,40,16,701
8,HTML,53,19,418
1,SVG,0,0,399
1,Fish Shell,9,8,62
1,Go,14,14,61
2,DOS Batch,0,0,4
3095,SUM,88276,181298,325911
