files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.84  T=2.34 s (728.0 files/s, 84012.0 lines/s)"
497,Python,17302,24159,59100
848,YAML,6944,3919,37204
88,reStructuredText,6115,3368,11214
10,CSS,1231,100,7308
46,Markdown,915,0,3644
56,JSON,3,0,2989
1,XML,2,1,2718
69,Bourne Shell,433,206,1375
12,JavaScript,137,253,1039
8,make,220,70,920
27,INI,208,0,855
11,Dockerfile,37,13,630
17,PowerShell,115,241,490
8,HTML,53,19,412
1,SVG,0,0,399
1,Fish Shell,9,8,62
1,Go,14,14,61
2,DOS Batch,0,0,4
1703,SUM,33738,32371,130424
