files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.84  T=12.28 s (429.5 files/s, 77753.5 lines/s)"
2488,Python,104082,241907,364086
1778,YAML,18587,7007,108494
403,JSON,6,0,22893
131,PowerShell,3088,2393,14916
12,CSS,3144,102,14716
186,reStructuredText,8366,5771,14493
59,Markdown,1533,0,6023
28,XML,2,1,3076
92,Bourne Shell,564,339,1765
33,INI,247,0,1159
18,Dockerfile,79,20,1111
11,make,222,70,1081
11,JavaScript,136,253,1036
13,HTML,118,38,874
1,SVG,0,0,399
1,Fish Shell,18,12,80
1,Go,14,14,61
2,Tcl/Tk,3,2,21
1,Velocity Template Language,4,7,15
1,C#,1,1,11
2,DOS Batch,0,0,4
5272,SUM,140214,257937,556314
