files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.84  T=19.46 s (414.2 files/s, 74468.6 lines/s)"
3698,Python,152104,360476,550685
2925,YAML,31418,11487,194878
695,JSON,9,0,38412
173,PowerShell,3788,2488,19488
257,reStructuredText,11224,8422,18275
8,CSS,3063,12,13044
31,XML,7,0,12596
86,Markdown,1895,0,4225
2,SVG,0,0,3070
102,Bourne Shell,709,475,1826
19,HTML,176,59,1240
37,INI,247,0,1193
9,make,193,67,918
3,C#,104,22,634
6,JavaScript,11,8,117
1,Fish Shell,18,12,80
1,Go,14,14,61
2,Tcl/Tk,3,2,21
1,Dockerfile,3,0,17
1,Velocity Template Language,4,7,15
1,diff,3,8,13
1,TOML,0,0,5
2,DOS Batch,0,0,4
8061,SUM,204993,383559,860817
