files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.84  T=15.56 s (431.8 files/s, 77714.1 lines/s)"
3076,Python,126687,295098,451834
2308,YAML,25313,9217,151933
669,JSON,7,0,37816
144,PowerShell,3305,2381,16694
15,CSS,3318,111,16459
226,reStructuredText,9768,7067,16200
30,XML,2,1,15259
65,Markdown,1666,0,6794
2,SVG,0,0,3070
84,Bourne Shell,573,350,1504
19,HTML,176,59,1240
38,INI,259,0,1214
10,make,218,70,1086
13,JavaScript,136,256,1038
12,Dockerfile,45,11,789
1,Fish Shell,18,12,80
1,Go,14,14,61
2,Tcl/Tk,3,2,21
1,Velocity Template Language,4,7,15
1,diff,3,8,13
1,C#,1,1,11
2,DOS Batch,0,0,4
6720,SUM,171516,314665,723135
