files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.84  T=14.26 s (415.8 files/s, 75639.5 lines/s)"
2804,Python,115419,268275,408489
2049,YAML,21676,8494,127865
445,JSON,7,0,24995
139,PowerShell,3270,2461,16525
29,XML,2,1,15250
194,reStructuredText,8754,6108,15084
12,CSS,3145,102,14721
61,Markdown,1550,0,6459
96,Bourne Shell,617,397,1936
39,INI,263,0,1222
18,Dockerfile,80,20,1132
11,make,221,70,1080
11,JavaScript,136,253,1036
13,HTML,118,38,874
1,SVG,0,0,399
1,Fish Shell,18,12,80
1,Go,14,14,61
2,Tcl/Tk,3,2,21
1,Velocity Template Language,4,7,15
1,C#,1,1,11
2,DOS Batch,0,0,4
5930,SUM,155298,286255,637259
