files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.84  T=5.80 s (251.8 files/s, 129055.3 lines/s)"
374,C,38046,59038,211325
671,Python,48141,71866,128874
211,reStructuredText,14413,6277,38158
14,Bourne Shell,4956,5459,32890
9,m4,1768,179,15619
4,JavaScript,3903,8696,13069
95,C/C++ Header,2524,12577,10032
5,lex,1320,751,5398
3,HTML,261,7,2179
10,Cython,423,328,1917
15,XML,0,7,1711
3,XSD,99,300,1197
20,YAML,121,70,954
4,make,212,134,800
2,CSS,19,30,504
2,C++,29,8,364
3,Windows Module Definition,4,17,333
1,SVG,0,0,263
2,DOS Batch,21,2,156
3,CMake,58,37,151
2,Markdown,30,0,121
1,DTD,15,27,116
3,TeX,2,2,32
1,JSON,0,0,15
2,SQL,0,0,11
1460,SUM,116365,165812,466189
