files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.84  T=123.21 s (199.5 files/s, 92519.9 lines/s)"
15173,PO File,1498489,3651796,4279252
5415,Python,119888,205669,762220
1692,XML,21480,5080,301091
813,JavaScript,33971,87476,220857
267,CSS,5008,2135,58355
73,SVG,12,56,19783
225,YAML,351,326,16115
126,LESS,2596,3231,15784
110,Sass,2198,1666,15409
213,reStructuredText,7485,6432,13451
140,HTML,1331,134,12159
213,Markdown,2713,4,6752
28,XSLT,905,1301,4975
6,PHP,291,1005,2713
16,Cython,252,102,2084
5,SQL,73,62,1306
4,C/C++ Header,74,116,635
9,make,115,23,567
3,DOS Batch,65,3,462
23,Bourne Shell,153,143,457
1,ANTLR Grammar,27,11,336
2,C,44,22,201
14,JSON,0,0,166
2,Bourne Again Shell,18,22,105
3,TeX,0,15,36
1,Mako,1,0,17
1,Pascal,7,0,16
1,diff,1,4,8
1,Ruby,2,0,6
1,INI,0,0,3
24581,SUM,1697550,3966834,5735321
