files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.84  T=4.74 s (154.1 files/s, 87552.1 lines/s)"
529,Python,61821,53208,204074
32,Cython,4156,2827,15037
45,reStructuredText,10886,12818,14729
13,HTML,2290,181,11647
11,C,1697,1214,9171
29,C/C++ Header,846,1037,3443
1,SVG,0,3,876
32,Bourne Shell,212,76,613
6,Markdown,66,0,275
7,YAML,50,42,258
1,Jupyter Notebook,0,1001,184
3,JSON,15,0,111
6,DOS Batch,8,0,103
1,PowerShell,14,5,73
1,INI,11,0,70
11,NAnt script,0,0,57
1,R,9,4,37
2,make,9,0,26
731,SUM,82090,72416,260784
