,time,color,token,issue_link,time_updated
5,21:42,g,10,https://github.com/pytroll/satpy/issues/165,21.70
10,13:43,g,7,https://github.com/Cadasta/cadasta-platform/issues/1856,13.72
13,9:30,g,0,https://github.com/cea-sec/ivre/issues/505,9.50
16,23:58,g,14,https://github.com/CodeCatz/TrackCat/issues/248,23.97
28,17:29,g,12,https://github.com/ansible/ansible/issues/32670,17.48
38,15:00,g,8,https://github.com/ansible/ansible-modules-core/issues/3593,15.00
39,9:00,g,6,https://github.com/piqueserver/piqueserver/issues/270,9.00
49,19:50,g,12,https://github.com/ansible/ansible/issues/36065,19.83
63,18:17,g,7,https://github.com/androguard/androguard/issues/234,18.28
75,19:17,g,9,https://github.com/translate/pootle/issues/5023,19.28
94,11:12,g,7,https://github.com/pydata/xarray/issues/1520,11.20
99,2:30,g,5,https://github.com/ansible/ansible/issues/23948,2.50
