,time,color,token,issue_link,project,repo
0,9:59,r,-1,https://github.com/ansible/ansible/issues/38605,ansible,ansible
1,3:59,r,-1,https://github.com/ansible/ansible/issues/45033,ansible,ansible
2,1:30,r,-1,https://github.com/systemd/systemd/issues/2099,systemd,systemd
3,0:59,r,-1,https://github.com/kennethreitz/httpbin/issues/125,kennethreitz,httpbin
4,2:42,r,-1,https://github.com/biocore/qiime/issues/1849,biocore,qiime
5,21:42,g,10,https://github.com/pytroll/satpy/issues/165,pytroll,satpy
6,1:24,r,-1,https://github.com/Ultimaker/Cura/issues/2855,Ultimaker,Cura
7,0:24,r,-1,https://github.com/broadinstitute/gatk/issues/4420,broadinstitute,gatk
8,9:24,r,-1,https://github.com/tomchristie/django-rest-framework/issues/3361,tomchristie,django-rest-framework
9,0:10,r,-1,https://github.com/convexopt/gpkit/issues/335,convexopt,gpkit
10,13:43,g,7,https://github.com/Cadasta/cadasta-platform/issues/1856,Cadasta,cadasta-platform
11,0:30,r,-1,https://github.com/ufal/neuralmonkey/issues/386,ufal,neuralmonkey
12,0:30,r,-1,https://github.com/timvandermeij/mobile-radio-tomography/issues/75,timvandermeij,mobile-radio-tomography
13,9:30,g,0,https://github.com/cea-sec/ivre/issues/505,cea-sec,ivre
14,2:30,r,-1,https://github.com/airbnb/streamalert/issues/825,airbnb,streamalert
15,0:30,r,-1,https://github.com/geopython/pywps/issues/332,geopython,pywps
16,23:58,g,14,https://github.com/CodeCatz/TrackCat/issues/248,CodeCatz,TrackCat
17,0:49,r,-1,https://github.com/wradlib/wradlib/issues/90,wradlib,wradlib
18,0:38,r,-1,https://github.com/QuantConnect/Lean/issues/2773,QuantConnect,Lean
19,1:23,r,-1,https://github.com/insomnia-lab/libreant/issues/230,insomnia-lab,libreant
20,1:56,r,-1,https://github.com/ansible/ansible/issues/20264,ansible,ansible
21,0:35,r,-1,https://github.com/ansible/ansible-modules-extras/issues/1633,ansible,ansible-modules-extras
22,0:58,r,-1,https://github.com/NYU-Molecular-Pathology/snsxt/issues/40,NYU-Molecular-Pathology,snsxt
23,1:04,r,-1,https://github.com/ansible/ansible/issues/17811,ansible,ansible
24,0:30,r,-1,https://github.com/SatelliteQE/robottelo/issues/4514,SatelliteQE,robottelo
25,0:40,r,-1,https://github.com/boundlessgeo/qgis-webappbuilder-plugin/issues/355,boundlessgeo,qgis-webappbuilder-plugin
26,0:56,r,-1,https://github.com/pandas-dev/pandas/issues/16659,pandas-dev,pandas
27,0:48,r,-1,https://github.com/inveniosoftware/invenio-accounts/issues/190,inveniosoftware,invenio-accounts
28,17:29,g,12,https://github.com/ansible/ansible/issues/32670,ansible,ansible
29,1:00,r,-1,https://github.com/google/mobly/issues/92,google,mobly
30,1:00,r,-1,https://github.com/neuropoly/spinalcordtoolbox/issues/1244,neuropoly,spinalcordtoolbox
31,1:00,r,-1,https://github.com/Blosc/castra/issues/14,Blosc,castra
32,1:00,r,-1,https://github.com/matt-bernhardt/trapp/issues/99,matt-bernhardt,trapp
33,1:00,r,-1,https://github.com/pandas-dev/pandas/issues/8212,pandas-dev,pandas
34,1:00,r,-1,https://github.com/openshift/openshift-ansible/issues/2454,openshift,openshift-ansible
35,1:00,r,-1,https://github.com/pypa/setuptools/issues/1519,pypa,setuptools
36,1:00,r,-1,https://github.com/ansible/ansible/issues/49727,ansible,ansible
37,1:00,r,-1,https://github.com/CentOS-PaaS-SIG/linchpin/issues/394,CentOS-PaaS-SIG,linchpin
38,15:00,g,8,https://github.com/ansible/ansible-modules-core/issues/3593,ansible,ansible-modules-core
39,9:00,g,6,https://github.com/piqueserver/piqueserver/issues/270,piqueserver,piqueserver
40,0:36,r,-1,https://github.com/qiime2/q2-diversity/issues/185,qiime2,q2-diversity
41,0:50,r,-1,https://github.com/scality/ScalitySproxydSwift/issues/100,scality,ScalitySproxydSwift
42,1:40,r,-1,https://github.com/bokeh/bokeh/issues/5324,bokeh,bokeh
43,0:45,r,-1,https://github.com/saltstack/salt/issues/44546,saltstack,salt
44,0:39,r,-1,https://github.com/tensorflow/tensorboard/issues/1320,tensorflow,tensorboard
45,0:56,r,-1,https://github.com/LLNL/spack/issues/2911,LLNL,spack
