,0,1
0,secdev-scapy,344
1,ansible-ansible,5846
2,pypa-warehouse,286
3,WellDone-pymomo,3
4,virtool-virtool,12
5,dhlab-basel-Knora,18
6,PaddlePaddle-Paddle,545
7,rlee287-pyautoupdate,3
8,cprogrammer1994-ModernGL,36
9,saltstack-salt,3167
10,bokeh-bokeh,549
11,NixOS-nixops,150
12,numenta-nupic,116
13,liqd-adhocracy3.mercator,28
14,solvebio-solvebio-python,22
15,wradlib-wradlib,40
16,kwikteam-phy,16
17,swcarpentry-amy,31
18,numba-numba,249
19,stianjensen-wikipendium.no,8
20,s4w3d0ff-python-poloniex,19
21,Cypresslin-UbunTuTuMKII,7
22,BitBotFactory-MikaLendingBot,55
23,SethMMorton-natsort,17
24,MCOfficer-EndlessSky-Discord-Bot,17
25,rarewin-AtomSeeker,2
26,divio-django-cms,565
27,ContinuumIO-blaze,68
28,esikachev-my-dev-server,4
29,trailofbits-manticore,88
30,androguard-androguard,84
31,rtfd-readthedocs.org,434
32,EUDAT-B2SHARE-b2share,208
33,streamlink-streamlink,260
34,zyga-guacamole,1
35,tum-ens-urbs,29
36,ganga-devs-ganga,107
37,airbnb-streamalert,29
38,TechEmpower-FrameworkBenchmarks,754
39,mypaint-mypaint,337
40,numpy-numpy,1263
41,awesto-django-shop,94
42,pandas-dev-pandas,2424
43,pimutils-khal,71
44,ansible-ansible-modules-core,1473
45,ansible-ansible-modules-extras,1365
46,Tribler-tribler,143
47,Alir3z4-html2text,72
48,mozilla-build-relengapi,28
49,beetbox-beets,460
50,ArkaneMoose-BotBot,9
51,pywinauto-pywinauto,80
52,Cadasta-cadasta-platform,39
53,kabirbaidhya-pglistend,3
54,cogniteev-docido-python-sdk,4
55,missionpinball-mpf,44
56,astropy-astropy,483
57,micahflee-onionshare,160
58,MongoEngine-mongoengine,366
59,KhronosGroup-SPIRV-Cross,86
60,projectatomic-commissaire-http,7
61,frappe-erpnext,480
62,simphony-simphony-mayavi,7
63,GameServerManagers-LinuxGSM,163
64,jupyter-nbgrader,84
65,pytest-dev-pytest,694
66,ciudadanointeligente-write-it,23
67,andycasey-ads,17
68,DMSC-Instrument-Data-lewis,8
69,ultrabug-py3status,200
70,ensime-ensime-vim,38
71,CenterForOpenScience-osf.io,210
72,pytroll-satpy,96
73,choderalab-openpathsampling,12
74,chainer-chainer,352
75,pymedusa-Medusa,328
76,strands-project-aaf_deployment,26
77,radremedy-radremedy,11
78,LCAS-zoidbot,5
79,kumoru-torment,7
80,ansible-ansible-container,78
81,biocore-qiita,43
82,openstenoproject-plover,50
83,andreas-h-emiprep,1
84,wal-e-wal-e,73
85,krmaxwell-maltrieve,14
86,pybuilder-pybuilder,38
87,inveniosoftware-invenio-accounts,89
88,home-assistant-home-assistant,2363
89,capitalone-cloud-custodian,302
90,KanoComputing-kano-burners,9
91,golemfactory-golem,82
92,pantsbuild-pants,249
93,inveniosoftware-invenio,219
94,cherrypy-cherrypy,156
95,google-mobly,39
96,ubc-compair,22
97,voc-voctomix,40
98,geopython-OWSLib,126
99,TESScience-SPyFFI,7
100,desihub-desitarget,41
101,letsencrypt-letsencrypt,469
102,planetlabs-planet-client-python,30
103,kartoza-geonode,253
104,google-blockly,157
105,madisonhicks-blob,2
106,mozilla-services-autopush,23
107,GetStream-stream-django,19
108,tryolabs-luminoth,18
109,pydata-xarray,281
110,pfnet-chainer,352
111,LLNL-spack,766
112,miguelgrinberg-Flask-SocketIO,57
113,catkin-catkin_tools,62
114,INM-6-h5py_wrapper,3
115,tomv564-LSP,94
116,shopkeep-shpkpr,12
117,mitodl-micromasters,44
118,poldracklab-mriqc,31
119,nansencenter-nansat,34
120,renisac-pdnssdk-py,5
121,SUSE-azurectl,7
122,librosa-librosa,78
123,coala-analyzer-coala,494
124,Sixdsn-terra-terminal,8
125,tomchristie-django-rest-framework,1133
126,ilogue-niprov,6
127,RIOT-OS-RIOT,407
128,Alignak-monitoring-alignak,186
129,mitodl-lore,18
130,mozilla-normandy,49
131,christabor-flask_jsondash,6
132,mantidproject-mantid,251
133,neutrons-FastGR,16
134,FX31337-FX-BT-Scripts,19
135,ament-ament_tools,24
136,liqd-a4-meinberlin,24
137,unt-libraries-pyuntl,7
138,cloudant-python-cloudant,30
139,gem-oq-engine,93
140,torchbox-wagtail,530
141,faneshion-MatchZoo,47
142,gitcoinco-web,264
143,mlsecproject-combine,11
144,CentOS-PaaS-SIG-linchpin,59
145,neuropoly-spinalcordtoolbox,76
146,Jumpscale-go-raml,22
147,ManageIQ-integration_tests,182
148,BD2KGenomics-toil-scripts,16
149,GoogleCloudPlatform-gcloud-python,311
150,codeforamerica-pittsburgh-purchasing-suite,11
151,QISKit-qiskit-sdk-py,255
152,mkdocs-mkdocs,179
153,buildbot-buildbot,757
154,tildaslash-RatticWeb,27
155,asciidisco-plugin.video.netflix,47
156,inspirehep-inspire-next,79
157,project-rig-rig,5
158,wong2-pick,11
159,hydroshare-hydroshare,77
160,apache-incubator-superset,530
161,Microsoft-PTVS,84
162,ufo-kit-concert,15
163,apache-incubator-mxnet,962
164,nvbn-thefuck,167
165,dseuss-mpnum,2
166,miki725-django-rest-framework-bulk,8
167,zenodo-zenodo,57
168,PyAr-fades,32
169,phoebe-project-phoebe2,28
170,metomi-rose,44
171,ContinuumIO-odo,43
172,Cog-Creators-Red-DiscordBot,111
173,QuantConnect-Lean,170
174,dbcli-vcli,42
175,SoCo-SoCo,74
176,geometalab-osmaxx,17
177,ONSdigital-eq-survey-runner,78
178,pixelated-pixelated-user-agent,94
179,flask-restful-flask-restful,157
180,SanaMobile-sana.protocol_builder,12
181,jupyter-jupyterlab,414
182,postmarketOS-pmbootstrap,109
183,raiden-network-raiden,103
184,pr-omethe-us-PyKED,5
185,freedomofpress-securedrop,213
186,poldracklab-fmriprep,77
187,cgstudiomap-cgstudiomap,3
188,boundlessgeo-qgis-webappbuilder-plugin,10
189,clab-dynet,153
190,mesonbuild-meson,601
191,basho-riak-python-client,93
192,dirk-thomas-vcstool,21
193,Ex-Mente-auxi.0,8
194,associatedpress-geomancer,6
195,Difrex-surok,6
196,CartoDB-cartoframes,49
197,SciTools-cartopy,96
198,SonarOpenCommunity-sonar-cxx,67
199,CSC-IT-Center-for-Science-pouta-blueprints,17
200,lbryio-lbry,100
201,influxdata-telegraf,842
202,conan-io-conan,251
203,ray-project-ray,410
204,frictionlessdata-tabulator-py,25
205,ImageEngine-gaffer,48
206,pgmpy-pgmpy,94
207,mitmproxy-mitmproxy,385
208,canihavesomecoffee-sample-platform,30
209,biocore-qiime,86
