,0_x,a,c,0_y,s,0,l
0,0,secdev-scapy,344,0,5742,0,113440
1,1,ansible-ansible,5846,1,45667,1,279233
2,2,pypa-warehouse,286,2,2534,2,247367
3,3,WellDone-pymomo,3,3,2,3,12536
4,4,virtool-virtool,12,4,27,4,289103
5,5,dhlab-basel-Knora,18,5,55,5,243959
6,6,PaddlePaddle-Paddle,545,6,13286,6,644506
7,7,rlee287-pyautoupdate,3,7,3,7,2591
8,8,cprogrammer1994-ModernGL,36,8,858,8,38548
9,9,saltstack-salt,3167,9,11371,9,815600
10,10,bokeh-bokeh,549,10,14248,10,151358
11,11,NixOS-nixops,150,11,773,11,10862
12,12,numenta-nupic,116,12,6187,12,143450
13,13,liqd-adhocracy3.mercator,28,13,51,13,105327
14,14,solvebio-solvebio-python,22,14,15,14,12154
15,15,wradlib-wradlib,40,15,136,15,19085
16,16,kwikteam-phy,16,16,140,16,28067
17,17,swcarpentry-amy,31,17,73,17,130863
18,18,numba-numba,249,18,5787,18,194064
19,19,stianjensen-wikipendium.no,8,19,35,19,8456
20,20,s4w3d0ff-python-poloniex,19,20,552,20,1154
21,21,Cypresslin-UbunTuTuMKII,7,21,0,21,2707
22,22,BitBotFactory-MikaLendingBot,55,22,1047,22,4663
23,23,SethMMorton-natsort,17,23,411,23,5854
24,24,MCOfficer-EndlessSky-Discord-Bot,17,24,5,24,2617
25,25,rarewin-AtomSeeker,2,25,0,25,544
26,26,divio-django-cms,565,26,7823,26,179997
27,27,ContinuumIO-blaze,68,27,2902,27,47077
28,28,esikachev-my-dev-server,4,28,0,28,553
29,29,trailofbits-manticore,88,29,2132,29,233249
30,30,androguard-androguard,84,30,3270,30,126324
31,31,rtfd-readthedocs.org,434,31,6170,31,225723
32,32,EUDAT-B2SHARE-b2share,208,32,26,32,40956
33,33,streamlink-streamlink,260,33,5442,33,42217
34,34,zyga-guacamole,1,34,7,34,2696
35,35,tum-ens-urbs,29,35,112,35,8584
36,36,ganga-devs-ganga,107,36,65,36,125182
37,37,airbnb-streamalert,29,37,2406,37,52628
38,38,TechEmpower-FrameworkBenchmarks,754,38,5473,38,156136
39,39,mypaint-mypaint,337,39,1752,39,402313
40,40,numpy-numpy,1263,40,15419,40,375456
41,41,awesto-django-shop,94,41,2348,41,39863
42,42,pandas-dev-pandas,2424,42,27279,42,390377
43,43,pimutils-khal,71,43,1517,43,12722
44,44,ansible-ansible-modules-core,1473,44,1207,44,71523
45,45,ansible-ansible-modules-extras,1365,45,927,45,79664
46,46,Tribler-tribler,143,46,3415,46,52737
47,47,Alir3z4-html2text,72,47,1016,47,3660
48,48,mozilla-build-relengapi,28,48,14,48,35203
49,49,beetbox-beets,460,49,9737,49,62225
