,owner,project name,issue id,clone_link,clone_links
0,secdev,scapy,470,,https://github.com/secdev/scapy.git
1,ansible,ansible,38038,,https://github.com/ansible/ansible.git
2,ansible,ansible,38198,,https://github.com/ansible/ansible.git
3,ansible,ansible,22315,,https://github.com/ansible/ansible.git
4,pypa,warehouse,1536,,https://github.com/pypa/warehouse.git
5,WellDone,pymomo,20,,https://github.com/WellDone/pymomo.git
6,virtool,virtool,296,,https://github.com/virtool/virtool.git
7,dhlab-basel,Knora,375,,https://github.com/dhlab-basel/Knora.git
8,PaddlePaddle,Paddle,5395,,https://github.com/PaddlePaddle/Paddle.git
9,rlee287,pyautoupdate,2,,https://github.com/rlee287/pyautoupdate.git
10,cprogrammer1994,ModernGL,103,,https://github.com/cprogrammer1994/ModernGL.git
11,ansible,ansible,21520,,https://github.com/ansible/ansible.git
12,saltstack,salt,20077,,https://github.com/saltstack/salt.git
13,bokeh,bokeh,8415,,https://github.com/bokeh/bokeh.git
14,NixOS,nixops,518,,https://github.com/NixOS/nixops.git
15,numenta,nupic,2133,,https://github.com/numenta/nupic.git
16,liqd,adhocracy3.mercator,1583,,https://github.com/liqd/adhocracy3.mercator.git
17,solvebio,solvebio-python,255,,https://github.com/solvebio/solvebio-python.git
18,wradlib,wradlib,25,,https://github.com/wradlib/wradlib.git
19,kwikteam,phy,339,,https://github.com/kwikteam/phy.git
20,saltstack,salt,31393,,https://github.com/saltstack/salt.git
21,ansible,ansible,43821,,https://github.com/ansible/ansible.git
22,swcarpentry,amy,526,,https://github.com/swcarpentry/amy.git
23,saltstack,salt,37613,,https://github.com/saltstack/salt.git
24,numba,numba,3119,,https://github.com/numba/numba.git
25,stianjensen,wikipendium.no,323,,https://github.com/stianjensen/wikipendium.no.git
26,s4w3d0ff,python-poloniex,120,,https://github.com/s4w3d0ff/python-poloniex.git
27,ansible,ansible,45018,,https://github.com/ansible/ansible.git
28,ansible,ansible,18937,,https://github.com/ansible/ansible.git
29,ansible,ansible,38549,,https://github.com/ansible/ansible.git
30,ansible,ansible,39863,,https://github.com/ansible/ansible.git
31,Cypresslin,UbunTuTuMKII,116,,https://github.com/Cypresslin/UbunTuTuMKII.git
32,bokeh,bokeh,4949,,https://github.com/bokeh/bokeh.git
33,BitBotFactory,MikaLendingBot,180,,https://github.com/BitBotFactory/MikaLendingBot.git
34,ansible,ansible,25368,,https://github.com/ansible/ansible.git
35,SethMMorton,natsort,52,,https://github.com/SethMMorton/natsort.git
36,ansible,ansible,18540,,https://github.com/ansible/ansible.git
37,ansible,ansible,27122,,https://github.com/ansible/ansible.git
38,ansible,ansible,41392,,https://github.com/ansible/ansible.git
39,MCOfficer,EndlessSky-Discord-Bot,101,,https://github.com/MCOfficer/EndlessSky-Discord-Bot.git
40,rarewin,AtomSeeker,8,,https://github.com/rarewin/AtomSeeker.git
41,ansible,ansible,18684,,https://github.com/ansible/ansible.git
42,divio,django-cms,6149,,https://github.com/divio/django-cms.git
43,ContinuumIO,blaze,1113,,https://github.com/ContinuumIO/blaze.git
44,ansible,ansible,17982,,https://github.com/ansible/ansible.git
45,esikachev,my-dev-server,24,,https://github.com/esikachev/my-dev-server.git
46,trailofbits,manticore,735,,https://github.com/trailofbits/manticore.git
47,ansible,ansible,36014,,https://github.com/ansible/ansible.git
48,ansible,ansible,15649,,https://github.com/ansible/ansible.git
49,ansible,ansible,27511,,https://github.com/ansible/ansible.git
50,androguard,androguard,277,,https://github.com/androguard/androguard.git
51,ansible,ansible,40273,,https://github.com/ansible/ansible.git
52,rtfd,readthedocs.org,1637,,https://github.com/rtfd/readthedocs.org.git
53,ansible,ansible,34288,,https://github.com/ansible/ansible.git
54,saltstack,salt,22561,,https://github.com/saltstack/salt.git
55,EUDAT-B2SHARE,b2share,667,,https://github.com/EUDAT-B2SHARE/b2share.git
56,streamlink,streamlink,318,,https://github.com/streamlink/streamlink.git
57,zyga,guacamole,4,,https://github.com/zyga/guacamole.git
58,tum-ens,urbs,147,,https://github.com/tum-ens/urbs.git
59,ganga-devs,ganga,945,,https://github.com/ganga-devs/ganga.git
60,airbnb,streamalert,787,,https://github.com/airbnb/streamalert.git
61,TechEmpower,FrameworkBenchmarks,1600,,https://github.com/TechEmpower/FrameworkBenchmarks.git
62,mypaint,mypaint,86,,https://github.com/mypaint/mypaint.git
63,ansible,ansible,37387,,https://github.com/ansible/ansible.git
64,numpy,numpy,8090,,https://github.com/numpy/numpy.git
65,awesto,django-shop,539,,https://github.com/awesto/django-shop.git
66,ansible,ansible,34931,,https://github.com/ansible/ansible.git
67,pandas-dev,pandas,21200,,https://github.com/pandas-dev/pandas.git
68,pimutils,khal,490,,https://github.com/pimutils/khal.git
