,0,1
0,secdev-scapy,113440
1,ansible-ansible,279233
2,pypa-warehouse,247367
3,WellDone-pymomo,12536
4,virtool-virtool,289103
5,dhlab-basel-Knora,243959
6,PaddlePaddle-Paddle,644506
7,rlee287-pyautoupdate,2591
8,cprogrammer1994-ModernGL,38548
9,saltstack-salt,815600
10,bokeh-bokeh,151358
11,NixOS-nixops,10862
12,numenta-nupic,143450
13,liqd-adhocracy3.mercator,105327
14,solvebio-solvebio-python,12154
15,wradlib-wradlib,19085
16,kwikteam-phy,28067
17,swcarpentry-amy,130863
18,numba-numba,194064
19,stianjensen-wikipendium.no,8456
20,s4w3d0ff-python-poloniex,1154
21,Cypresslin-UbunTuTuMKII,2707
22,BitBotFactory-MikaLendingBot,4663
23,SethMMorton-natsort,5854
24,MCOfficer-EndlessSky-Discord-Bot,2617
25,rarewin-AtomSeeker,544
26,divio-django-cms,179997
27,ContinuumIO-blaze,47077
28,esikachev-my-dev-server,553
29,trailofbits-manticore,233249
30,androguard-androguard,126324
31,rtfd-readthedocs.org,225723
32,EUDAT-B2SHARE-b2share,40956
33,streamlink-streamlink,42217
34,zyga-guacamole,2696
35,tum-ens-urbs,8584
36,ganga-devs-ganga,125182
37,airbnb-streamalert,52628
38,TechEmpower-FrameworkBenchmarks,156136
39,mypaint-mypaint,402313
40,numpy-numpy,375456
41,awesto-django-shop,39863
42,pandas-dev-pandas,390377
43,pimutils-khal,12722
44,ansible-ansible-modules-core,71523
45,ansible-ansible-modules-extras,79664
46,Tribler-tribler,52737
47,Alir3z4-html2text,3660
48,mozilla-build-relengapi,35203
49,beetbox-beets,62225
50,ArkaneMoose-BotBot,1138
51,pywinauto-pywinauto,34553
52,Cadasta-cadasta-platform,114297
53,kabirbaidhya-pglistend,529
54,cogniteev-docido-python-sdk,5501
55,missionpinball-mpf,78739
56,astropy-astropy,462832
57,micahflee-onionshare,34903
58,MongoEngine-mongoengine,28879
59,KhronosGroup-SPIRV-Cross,170127
60,projectatomic-commissaire-http,3529
61,frappe-erpnext,530111
62,simphony-simphony-mayavi,8099
63,GameServerManagers-LinuxGSM,18247
64,jupyter-nbgrader,105231
65,pytest-dev-pytest,59500
