,0,1
0,secdev-scapy,5742
1,ansible-ansible,45667
2,pypa-warehouse,2534
3,WellDone-pymomo,2
4,virtool-virtool,27
5,dhlab-basel-Knora,55
6,PaddlePaddle-Paddle,13286
7,rlee287-pyautoupdate,3
8,cprogrammer1994-ModernGL,858
9,saltstack-salt,11371
10,bokeh-bokeh,14248
11,NixOS-nixops,773
12,numenta-nupic,6187
13,liqd-adhocracy3.mercator,51
14,solvebio-solvebio-python,15
15,wradlib-wradlib,136
16,kwikteam-phy,140
17,swcarpentry-amy,73
18,numba-numba,5787
19,stianjensen-wikipendium.no,35
20,s4w3d0ff-python-poloniex,552
21,Cypresslin-UbunTuTuMKII,0
22,BitBotFactory-MikaLendingBot,1047
23,SethMMorton-natsort,411
24,MCOfficer-EndlessSky-Discord-Bot,5
25,rarewin-AtomSeeker,0
26,divio-django-cms,7823
27,ContinuumIO-blaze,2902
28,esikachev-my-dev-server,0
29,trailofbits-manticore,2132
30,androguard-androguard,3270
31,rtfd-readthedocs.org,6170
32,EUDAT-B2SHARE-b2share,26
33,streamlink-streamlink,5442
34,zyga-guacamole,7
35,tum-ens-urbs,112
36,ganga-devs-ganga,65
37,airbnb-streamalert,2406
38,TechEmpower-FrameworkBenchmarks,5473
39,mypaint-mypaint,1752
40,numpy-numpy,15419
41,awesto-django-shop,2348
42,pandas-dev-pandas,27279
43,pimutils-khal,1517
44,ansible-ansible-modules-core,1207
45,ansible-ansible-modules-extras,927
46,Tribler-tribler,3415
47,Alir3z4-html2text,1016
48,mozilla-build-relengapi,14
49,beetbox-beets,9737
50,ArkaneMoose-BotBot,7
51,pywinauto-pywinauto,2513
52,Cadasta-cadasta-platform,52
53,kabirbaidhya-pglistend,22
54,cogniteev-docido-python-sdk,0
55,missionpinball-mpf,125
56,astropy-astropy,2551
57,micahflee-onionshare,4199
58,MongoEngine-mongoengine,3319
59,KhronosGroup-SPIRV-Cross,1075
60,projectatomic-commissaire-http,3
61,frappe-erpnext,7106
62,simphony-simphony-mayavi,0
63,GameServerManagers-LinuxGSM,2507
64,jupyter-nbgrader,961
65,pytest-dev-pytest,6713
66,ciudadanointeligente-write-it,37
67,andycasey-ads,122
68,DMSC-Instrument-Data-lewis,15
