,0,1
0,Knora-dhlab-basel,55
1,ModernGL-cprogrammer1994,858
2,adhocracy3.mercator-liqd,51
3,phy-kwikteam,140
4,amy-swcarpentry,73
5,EndlessSky-Discord-Bot-MCOfficer,5
6,django-cms-divio,7823
7,blaze-ContinuumIO,2902
8,readthedocs.org-rtfd,6170
9,lewis-DMSC-Instrument-Data,15
10,openpathsampling-choderalab,57
11,torment-kumoru,5
12,home-assistant-home-assistant,37382
13,cloud-custodian-capitalone,3272
14,SPyFFI-TESScience,6
15,letsencrypt-letsencrypt,27369
16,chainer-pfnet,5483
17,spack-LLNL,1822
18,LSP-tomv564,944
19,coala-coala-analyzer,3091
20,django-rest-framework-tomchristie,19264
21,FastGR-neutrons,0
22,wagtail-torchbox,9652
23,MatchZoo-faneshion,3261
24,gcloud-python-GoogleCloudPlatform,3405
25,qiskit-sdk-py-QISKit,2884
26,odo-ContinuumIO,925
27,jupyterlab-jupyter,10436
28,fmriprep-poldracklab,352
29,pouta-blueprints-CSC-IT-Center-for-Science,8
30,lbry-lbryio,4864
31,gaffer-ImageEngine,645
32,sample-platform-canihavesomecoffee,18
